displayName,commonName,sciName,speciesCode,category,reportAsSpeciesCode,reportAsCategory,showSpeciesPageLink
Red-billed Chough,Red-billed Chough,Pyrrhocorax pyrrhocorax,rebcho1,species,rebcho1,species,True
Yellow-billed Chough,Yellow-billed Chough,Pyrrhocorax graculus,yebcho1,species,yebcho1,species,True
Red-billed/Yellow-billed Chough,Red-billed/Yellow-billed Chough,Pyrrhocorax pyrrhocorax/graculus,y00895,slash,y00895,slash,False
Eurasian Jackdaw,Eurasian Jackdaw,Corvus monedula,eurjac,species,eurjac,species,True
House Crow,House Crow,Corvus splendens,houcro1,species,houcro1,species,True
Rook,Rook,Corvus frugilegus,rook1,species,rook1,species,True
Carrion Crow,Carrion Crow,Corvus corone,carcro1,species,carcro1,species,True
Hooded Crow,Hooded Crow,Corvus cornix,hoocro1,species,hoocro1,species,True
crow sp.,crow sp.,Corvus sp. (crow sp.),crow,spuh,crow,spuh,False
Pied Crow,Pied Crow,Corvus albus,piecro1,species,piecro1,species,True
Brown-necked Raven,Brown-necked Raven,Corvus ruficollis,brnrav1,species,brnrav1,species,True
Common Raven,Common Raven,Corvus corax,comrav,species,comrav,species,True
crow/raven sp.,crow/raven sp.,Corvus sp.,y00639,spuh,y00639,spuh,False
Coal Tit,Coal Tit,Periparus ater,coatit2,species,coatit2,species,True
Crested Tit,Crested Tit,Lophophanes cristatus,cretit2,species,cretit2,species,True
Marsh Tit,Marsh Tit,Poecile palustris,martit2,species,martit2,species,True
Eurasian Blue Tit,Eurasian Blue Tit,Cyanistes caeruleus,blutit,species,blutit,species,True
African Blue Tit,African Blue Tit,Cyanistes teneriffae,afbtit2,species,afbtit2,species,True
Great Tit,Great Tit,Parus major,gretit1,species,gretit1,species,True
Parid sp.,Parid sp.,Paridae sp.,parid1,spuh,parid1,spuh,False
Eurasian Penduline-Tit,Eurasian Penduline-Tit,Remiz pendulinus,euptit1,species,euptit1,species,True
Bar-tailed Lark,Bar-tailed Lark,Ammomanes cinctura,batlar1,species,batlar1,species,True
